sub_id,label,window_index,window_start_sec,status,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate
001,easy,0,0.0,ok,62.69387755102041,957.03125,163.64343801291727,0.0,421.875,1.0,1.0,70.3125,0.0,0.0,0.0,nan,0.26136957658128596
001,easy,1,9.5,ok,62.950819672131146,953.125,167.80212180819805,55.60978256266308,348.21905521764126,1.0,1.0,31.25,226.84668479565173,5.208333333333355,3711.7702002355304,43.55456348076495,0.34989503149055284
labelled_data,unknown,0,0.0,ok,79.52662721893492,754.4642857142857,221.08358061454257,0.0,46.875,1.0,0.0,125.0,33.14563036811941,309.35921676911454,32213.59654559846,0.10714285714285714,0.18942981625307823
labelled_data,unknown,1,4.796875,ok,57.986577181208055,1034.7222222222222,134.16443809973373,111.00594523930788,181.20958601161254,1.0,0.8333333333333334,78.125,118.09544107680448,120.82042405897967,44825.31611378633,0.9774460071349778,0.21484584810398535
002,easy,0,0.0,failed_hp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
002,easy,1,15.0,ok,nan,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,nan,nan
002,easy,2,30.0,ok,76.03960396039604,789.0625,23.4375,--,nan,nan,nan,23.4375,nan,nan,nan,nan,nan
002,easy,3,45.0,failed_hp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
002,easy,4,60.0,ok,nan,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,nan,nan
002,easy,5,75.0,ok,76.52173913043478,784.0909090909091,203.05048696879422,137.70108402502382,327.2557931751044,0.8333333333333334,0.8333333333333334,187.5,196.92046432718297,204.5224366257485,126526.55457397527,0.9628306193492295,0.23199164830066116
002,easy,6,90.0,ok,68.11529933481152,880.859375,160.09669243221228,98.43439975276682,301.66772775480973,1.0,1.0,93.75,212.43320986216762,169.25831283822885,112959.3778036759,1.2550828748080682,0.14198494959534289
002,easy,7,105.0,ok,82.20183486238531,729.9107142857143,197.59192836009578,89.30431353897004,325.01001587130617,1.0,1.0,171.875,187.71688844729266,73.84086916019702,43546.175600064314,2.542181458347176,0.19584802193497847
002,easy,8,120.0,ok,72.45283018867924,828.125,123.69106340664497,15.625,172.58376589355095,1.0,1.0,54.6875,11.048543456039802,165.72815184059704,5752.4279545711515,0.06666666666666667,0.2013693113169553
002,easy,9,135.0,ok,75.29411764705883,796.875,137.1088185530019,0.0,156.25,1.0,1.0,93.75,0.0,0.0,0.0,nan,0.31387319522912743
002,easy,10,150.0,ok,82.87769784172662,723.9583333333334,179.4420122599189,48.30009633070679,114.81983169296147,1.0,1.0,125.0,80.85507654302094,42.63204568683567,10829.124280495553,1.8965797967323006,0.230361667818475
